tool_id,qw,qx,qy,qz,x,y,z
0B,0.181115433,-0.689458748,0.281924022,-0.642154717,79.690000000,-1.290000000,-177.260000000
0B,0.179013296,-0.667349566,0.294621882,-0.660149031,79.650000000,-0.630000000,-178.180000000
0B,0.166910285,-0.646139816,0.306518888,-0.678741825,79.590000000,0.050000000,-178.880000000
0B,0.146016260,-0.628970040,0.317235326,-0.694577345,79.660000000,1.040000000,-179.260000000
0B,0.119615825,-0.617181652,0.327843373,-0.705193296,79.680000000,1.980000000,-179.440000000
0B,0.090907452,-0.611550131,0.337827693,-0.709658173,79.880000000,2.970000000,-179.210000000
0B,0.060705056,-0.610050813,0.349829138,-0.708359002,79.980000000,3.860000000,-178.770000000
0B,0.029001922,-0.613540661,0.361523959,-0.701446486,80.130000000,4.910000000,-178.120000000
0B,0.001300148,0.623070944,-0.370442179,0.688878437,80.310000000,5.580000000,-177.020000000
0B,0.045602701,0.645138209,-0.375722253,0.663739311,80.640000000,6.620000000,-175.750000000
0B,0.067107496,0.665774371,-0.372941660,0.642771802,80.830000000,6.810000000,-174.520000000
0B,0.078210721,0.688294354,-0.368950577,0.619684949,80.920000000,6.830000000,-173.320000000
0B,0.082805341,0.710945854,-0.360623259,0.598038572,81.040000000,6.480000000,-171.950000000
0B,0.079806408,0.733358880,-0.347327886,0.578946483,81.060000000,5.940000000,-171.050000000
0B,0.070606560,0.754770129,-0.327730451,0.563852390,81.040000000,5.100000000,-170.230000000
0B,0.044303240,0.779857033,-0.296421678,0.549540189,80.950000000,3.670000000,-169.560000000
0B,0.034002907,0.785767166,-0.286624500,0.547046761,80.940000000,3.180000000,-169.640000000
0B,0.013301348,0.793680463,-0.269427315,0.545255278,80.890000000,2.190000000,-169.630000000
0B,0.004200266,-0.796550352,0.253516025,-0.548834693,80.830000000,1.460000000,-169.870000000
0B,0.015001335,-0.795470792,0.235520960,-0.558149672,80.660000000,0.750000000,-170.390000000
0B,0.030901330,-0.791434056,0.223409614,-0.568124447,80.560000000,0.220000000,-170.920000000
0B,0.046701271,-0.786721415,0.209705708,-0.578715753,80.430000000,-0.460000000,-171.520000000
0B,0.067103373,-0.778939154,0.202410174,-0.589729644,80.340000000,-1.090000000,-172.230000000
0B,0.085007205,-0.768665147,0.196516655,-0.602751085,80.250000000,-1.550000000,-173.150000000
0B,0.098906688,-0.754351011,0.194513153,-0.619141868,80.140000000,-1.810000000,-173.980000000
0B,0.110407538,-0.736950313,0.198813573,-0.636543458,79.930000000,-1.940000000,-175.110000000
0B,0.123015531,-0.716990522,0.210726605,-0.652982441,79.780000000,-1.860000000,-176.100000000
0B,0.132212856,-0.685866693,0.231122474,-0.677265857,79.650000000,-1.350000000,-177.780000000
0B,0.134303509,-0.674917632,0.240306278,-0.684617886,79.590000000,-1.090000000,-178.060000000
0B,0.130513081,-0.655165667,0.257725832,-0.698069968,79.580000000,-0.390000000,-178.900000000
0B,0.118008493,-0.639146001,0.273519686,-0.709051032,79.590000000,0.500000000,-179.470000000
0B,0.087208831,-0.624163203,0.292829652,-0.719072813,79.720000000,1.850000000,-179.520000000
0B,0.074910595,-0.621187855,0.298742251,-0.720601915,79.740000000,2.230000000,-179.500000000
0B,0.046203233,-0.616343127,0.309221637,-0.722750573,79.840000000,3.110000000,-179.280000000
0B,0.008600809,-0.614857833,0.314029537,-0.723368040,80.030000000,4.140000000,-179.010000000
0B,0.021602415,0.617569039,-0.319935766,0.718180286,80.150000000,4.860000000,-178.470000000
0B,0.044803047,0.623642409,-0.325622143,0.709248231,80.330000000,5.520000000,-177.880000000
0B,0.065305853,0.631956642,-0.329629544,0.698362594,80.470000000,6.000000000,-177.220000000
0B,0.083406457,0.643149788,-0.332025703,0.684953024,80.580000000,6.390000000,-176.410000000
0B,0.099303917,0.664726221,-0.336213262,0.659726023,80.750000000,6.720000000,-175.020000000
0B,0.102502662,0.672817473,-0.336908750,0.650616897,80.820000000,6.790000000,-174.570000000
